test_acc	train_acc
9.84	10.116
10.0	9.816
10.0	10.098
10.0	10.124
10.0	10.032
10.0	9.748
10.0	10.18
10.0	10.014
10.0	9.728
10.0	9.758
10.0	9.854
10.0	9.988
10.0	10.03
10.0	9.978
10.0	9.938
10.0	10.112
10.0	10.154
10.0	9.914
10.0	9.884
10.0	9.824
10.0	9.89
10.0	9.792
10.0	10.186
10.0	10.016
10.0	9.99
10.0	9.888
10.0	10.024
10.0	9.978
10.0	10.048
10.0	10.114
10.0	10.166
10.0	10.168
10.0	9.932
10.0	9.936
10.0	9.936
10.0	9.818
10.0	10.102
10.0	10.022
10.0	9.84
10.0	10.096
10.0	9.844
10.0	9.848
10.0	9.892
10.0	10.034
10.0	9.936
10.0	9.968
10.0	9.726
10.0	10.064
10.0	9.828
10.0	9.95
10.0	9.984
10.0	10.08
10.0	10.242
10.0	9.73
10.0	9.782
10.0	9.91
10.0	10.116
10.0	10.054
10.0	9.852
10.0	9.898
10.0	10.074
10.0	10.132
10.0	10.116
10.0	9.852
10.0	9.95
10.0	10.132
10.0	9.974
10.0	10.0
10.0	10.05
10.0	10.216
10.0	10.07
10.0	10.116
10.0	10.11
10.0	10.048
10.0	10.066
10.0	10.038
10.0	9.962
10.0	9.868
10.0	10.064
10.0	9.856
10.0	10.102
10.0	9.894
10.0	9.96
10.0	10.034
10.0	10.078
10.0	10.088
10.0	10.014
10.0	9.832
10.0	10.03
10.0	10.148
10.0	10.154
10.0	9.984
10.0	9.94
10.0	9.938
10.0	9.988
10.0	9.886
10.0	9.68
10.0	9.924
10.0	10.248
10.0	9.828
10.0	9.994
10.0	10.16
10.0	10.05
10.0	9.982
10.0	10.048
10.0	9.892
10.0	10.004
10.0	9.896
10.0	9.846
10.0	9.836
10.0	10.184
10.0	10.048
10.0	9.904
10.0	9.768
10.0	10.164
10.0	9.716
10.0	9.918
10.0	10.068
10.0	9.824
10.0	9.886
10.0	9.96
10.0	10.222
10.0	9.854
10.0	10.07
10.0	10.036
10.0	9.618
10.0	9.904
10.0	9.958
10.0	9.904
10.0	10.024
10.0	9.91
10.0	10.158
10.0	9.756
10.0	9.976
10.0	9.932
10.0	9.7
10.0	9.93
10.0	9.888
10.0	9.832
10.0	10.13
10.0	10.36
10.0	9.872
10.0	10.026
10.0	10.05
10.0	9.878
10.0	10.038
10.0	9.718
10.0	9.898
10.0	10.012
10.0	9.934
10.0	9.878
10.0	10.012
10.0	9.958
10.0	9.87
10.0	10.118
10.0	10.018
10.0	9.66
10.0	9.842
10.0	9.954
10.0	10.008
10.0	9.972
10.0	10.04
10.0	9.744
10.0	10.002
10.0	10.074
10.0	9.808
10.0	10.062
10.0	9.928
10.0	9.87
10.0	9.9
10.0	9.904
10.0	10.078
10.0	9.706
10.0	10.094
10.0	9.892
10.0	9.904
10.0	9.926
10.0	9.998
10.0	9.668
10.0	9.836
10.0	9.866
10.0	9.904
10.0	9.642
10.0	9.93
10.0	9.802
10.0	10.162
10.0	9.946
10.0	10.044
10.0	10.054
10.0	10.018
10.0	9.954
10.0	9.952
10.0	9.616
10.0	10.088
10.0	9.886
10.0	9.768
10.0	9.934
10.0	10.318
10.0	9.974
10.0	9.894
